run_id,seed,beta,observation_percentage,clean_observation_length,noise_mode,noise_rate,noisy_observation_length,dropped_actions,corrupted_actions,inserted_actions,true_goal,predicted_goal,top1_correct,true_goal_rank,true_goal_probability
1,7,0.1,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,corrupt,0.3,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,spurious,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,spurious,0.2,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,10.0,0.5,1,spurious,0.3,1,1,0,1,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.1,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.25,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,0.5,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,1.0,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,2.0,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
1,7,5.0,0.5,1,mixed,0.1,1,0,0,0,G3_visit_admin_office,G1_attend_lab_session,False,3,0.2
